南京_20240313_C1001	C1001	南京	奥迪	66.9	2024/3/13	孙颖	sold
上海_20240411_C1002	C1002	上海	奥迪	40.4	2024/4/11	沈伟	sold
重庆_20240520_C1003	C1003	重庆	本田	27.4	2024/5/20	杨强	pending
广州_20241208_C1004	C1004	广州	奔驰	66.8	2024/12/8	沈洋	sold
西安_20240305_C1005	C1005	西安	特斯拉	37.4	2024/3/5	郭敏	sold
天津_20241218_C1006	C1006	天津	特斯拉	42.7	2024/12/18	沈军	pending
上海_20240610_C1007	C1007	上海	长城	18.9	2024/6/10	周宁	sold
郑州_20240131_C1008	C1008	郑州	蔚来	46.2	2024/1/31	王芳	pending
宁波_20240112_C1009	C1009	宁波	理想	47.4	2024/1/12	吴丽	sold
宁波_20241213_C1010	C1010	宁波	本田	22.9	2024/12/13	郑强	sold
天津_20241201_C1011	C1011	天津	蔚来	41.3	2024/12/1	沈静	sold
杭州_20240905_C1012	C1012	杭州	丰田	26.1	2024/9/5	刘静	sold
北京_20240522_C1013	C1013	北京	比亚迪	25.8	2024/5/22	陈超	sold
成都_20240619_C1014	C1014	成都	蔚来	45.4	2024/6/19	陈洋	pending
沈阳_20240727_C1015	C1015	沈阳	五菱	4.7	2024/7/27	周涛	sold
昆明_20240606_C1016	C1016	昆明	大众	24.2	2024/6/6	郑敏	pending
广州_20240408_C1017	C1017	广州	小鹏	33	2024/4/8	周芳	sold
西安_20241103_C1018	C1018	西安	理想	42.4	2024/11/3	周伟	sold
西安_20240921_C1019	C1019	西安	理想	35.4	2024/9/21	杨强	sold
成都_20241106_C1020	C1020	成都	小鹏	28.2	2024/11/6	郑敏	sold
沈阳_20240705_C1021	C1021	沈阳	特斯拉	34.5	2024/7/5	杨杰	sold
南京_20240426_C1022	C1022	南京	蔚来	45.3	2024/4/26	杨强	pending
西安_20241207_C1023	C1023	西安	大众	18.2	2024/12/7	张伟	sold
南京_20240801_C1024	C1024	南京	丰田	22.4	2024/8/1	赵洋	sold
昆明_20241013_C1025	C1025	昆明	奔驰	47.1	2024/10/13	赵杰	sold
天津_20241015_C1026	C1026	天津	吉利	19.3	2024/10/15	杨洋	pending
沈阳_20240615_C1027	C1027	沈阳	五菱	11.7	2024/6/15	沈军	pending
南京_20240920_C1028	C1028	南京	蔚来	37.3	2024/9/20	沈超	sold
西安_20240815_C1029	C1029	西安	丰田	14.6	2024/8/15	郭伟	sold
长沙_20240926_C1030	C1030	长沙	五菱	9.3	2024/9/26	周静	sold
北京_20240212_C1031	C1031	北京	长安	10.9	2024/2/12	唐强	sold
武汉_20241106_C1032	C1032	武汉	长安	15.1	2024/11/6	郑静	sold
广州_20240422_C1033	C1033	广州	小鹏	30.2	2024/4/22	沈伟	sold
西安_20240118_C1034	C1034	西安	奥迪	32	2024/1/18	周丽	pending
武汉_20241016_C1035	C1035	武汉	大众	19.6	2024/10/16	杨超	sold
深圳_20240831_C1036	C1036	深圳	蔚来	46	2024/8/31	杨涛	pending
昆明_20240505_C1037	C1037	昆明	长安	14.5	2024/5/5	郭宁	pending
武汉_20240222_C1038	C1038	武汉	吉利	15.5	2024/2/22	沈颖	sold
昆明_20241014_C1039	C1039	昆明	长安	12.5	2024/10/14	唐宁	sold
南京_20241024_C1040	C1040	南京	理想	42.9	2024/10/24	吴强	sold
西安_20240204_C1041	C1041	西安	奥迪	60.8	2024/2/4	陈超	sold
苏州_20240718_C1042	C1042	苏州	本田	28	2024/7/18	王宁	sold
沈阳_20240724_C1043	C1043	沈阳	奥迪	38.9	2024/7/24	张娜	sold
青岛_20241221_C1044	C1044	青岛	大众	22.5	2024/12/21	郭军	pending
宁波_20240111_C1045	C1045	宁波	本田	20.4	2024/1/11	杨静	sold
昆明_20240617_C1046	C1046	昆明	特斯拉	30.1	2024/6/17	郭娜	sold
深圳_20240908_C1047	C1047	深圳	小鹏	29.4	2024/9/8	杨丽	pending
上海_20241005_C1048	C1048	上海	五菱	4.6	2024/10/5	吴伟	sold
成都_20241120_C1049	C1049	成都	理想	41.9	2024/11/20	王静	sold
苏州_20241212_C1050	C1050	苏州	蔚来	33.7	2024/12/12	郑敏	sold
武汉_20241103_C1051	C1051	武汉	比亚迪	7.4	2024/11/3	赵涛	pending
上海_20240211_C1052	C1052	上海	大众	21.1	2024/2/11	张颖	pending
沈阳_20240923_C1053	C1053	沈阳	长安	16.9	2024/9/23	周军	pending
广州_20240608_C1054	C1054	广州	长安	14.2	2024/6/8	郭颖	sold
杭州_20240312_C1055	C1055	杭州	理想	56.5	2024/3/12	张丽	pending
重庆_20241009_C1056	C1056	重庆	长城	14.9	2024/10/9	吴鹏	pending
北京_20240503_C1057	C1057	北京	丰田	23.2	2024/5/3	杨伟	sold
沈阳_20240722_C1058	C1058	沈阳	长安	8.7	2024/7/22	沈军	sold
广州_20241025_C1059	C1059	广州	大众	12.9	2024/10/25	李静	sold
长沙_20240612_C1060	C1060	长沙	奔驰	58.8	2024/6/12	唐洋	pending
西安_20240701_C1061	C1061	西安	丰田	34.9	2024/7/1	周宁	sold
青岛_20240201_C1062	C1062	青岛	长安	12.9	2024/2/1	陈军	sold
长沙_20240112_C1063	C1063	长沙	丰田	24.4	2024/1/12	张敏	sold
广州_20240613_C1064	C1064	广州	理想	35.1	2024/6/13	郑娜	sold
深圳_20240902_C1065	C1065	深圳	蔚来	53.4	2024/9/2	唐超	pending
北京_20241208_C1066	C1066	北京	蔚来	53.8	2024/12/8	唐娜	sold
西安_20240114_C1067	C1067	西安	奔驰	69.8	2024/1/14	李杰	sold
深圳_20241202_C1068	C1068	深圳	长城	19.4	2024/12/2	林娜	sold
成都_20240612_C1069	C1069	成都	长城	11.9	2024/6/12	郭静	sold
沈阳_20240702_C1070	C1070	沈阳	五菱	7.6	2024/7/2	刘敏	sold
成都_20240208_C1071	C1071	成都	特斯拉	37	2024/2/8	沈超	pending
长沙_20241021_C1072	C1072	长沙	蔚来	41.4	2024/10/21	郑娜	sold
昆明_20240524_C1073	C1073	昆明	丰田	30.9	2024/5/24	吴强	sold
成都_20241017_C1074	C1074	成都	长安	10.6	2024/10/17	张军	sold
苏州_20240926_C1075	C1075	苏州	小鹏	24.5	2024/9/26	张鹏	sold
郑州_20240302_C1076	C1076	郑州	奔驰	75.7	2024/3/2	吴强	sold
沈阳_20240111_C1077	C1077	沈阳	特斯拉	36.3	2024/1/11	沈敏	pending
南京_20240923_C1078	C1078	南京	吉利	10.2	2024/9/23	王超	sold
成都_20241114_C1079	C1079	成都	理想	42.5	2024/11/14	孙宁	pending
南京_20240915_C1080	C1080	南京	小鹏	40.7	2024/9/15	周静	pending
武汉_20240702_C1081	C1081	武汉	小鹏	29	2024/7/2	杨丽	pending
昆明_20240401_C1082	C1082	昆明	五菱	7.8	2024/4/1	沈鹏	sold
沈阳_20241022_C1083	C1083	沈阳	宝马	73.7	2024/10/22	孙强	pending
苏州_20240914_C1084	C1084	苏州	特斯拉	47.8	2024/9/14	孙军	pending
上海_20240507_C1085	C1085	上海	特斯拉	37.9	2024/5/7	杨丽	sold
青岛_20241006_C1086	C1086	青岛	比亚迪	8.4	2024/10/6	陈静	sold
苏州_20240101_C1087	C1087	苏州	长城	13.2	2024/1/1	林超	pending
广州_20241128_C1088	C1088	广州	长城	11.4	2024/11/28	刘军	pending
深圳_20240229_C1089	C1089	深圳	奔驰	37.4	2024/2/29	陈超	sold
苏州_20240104_C1090	C1090	苏州	小鹏	37	2024/1/4	沈洋	sold
郑州_20241002_C1091	C1091	郑州	长安	9.7	2024/10/2	杨敏	pending
武汉_20240908_C1092	C1092	武汉	特斯拉	32.5	2024/9/8	郑超	sold
苏州_20241218_C1093	C1093	苏州	五菱	10.7	2024/12/18	沈伟	sold
青岛_20241108_C1094	C1094	青岛	蔚来	48.4	2024/11/8	王洋	sold
沈阳_20241106_C1095	C1095	沈阳	吉利	8.2	2024/11/6	刘芳	sold
武汉_20241018_C1096	C1096	武汉	奔驰	61.5	2024/10/18	陈洋	sold
广州_20240221_C1097	C1097	广州	小鹏	38.8	2024/2/21	郑涛	sold
北京_20240823_C1098	C1098	北京	蔚来	36.3	2024/8/23	赵敏	sold
武汉_20240825_C1099	C1099	武汉	大众	16.7	2024/8/25	沈静	sold
上海_20241116_C1100	C1100	上海	奔驰	67	2024/11/16	吴洋	sold
郑州_20240830_C1101	C1101	郑州	蔚来	33.8	2024/8/30	林军	sold
广州_20240618_C1102	C1102	广州	五菱	13.7	2024/6/18	刘伟	pending
杭州_20240908_C1103	C1103	杭州	丰田	24.4	2024/9/8	李颖	sold
北京_20240222_C1104	C1104	北京	比亚迪	9	2024/2/22	王军	sold
武汉_20240527_C1105	C1105	武汉	比亚迪	18.8	2024/5/27	郭涛	sold
重庆_20240803_C1106	C1106	重庆	奥迪	36.4	2024/8/3	沈静	pending
重庆_20240814_C1107	C1107	重庆	比亚迪	18.9	2024/8/14	刘伟	sold
宁波_20240817_C1108	C1108	宁波	理想	32.4	2024/8/17	唐杰	pending
青岛_20240930_C1109	C1109	青岛	丰田	14.6	2024/9/30	李涛	sold
杭州_20241115_C1110	C1110	杭州	奥迪	27.8	2024/11/15	郭敏	sold
成都_20240103_C1111	C1111	成都	宝马	62.5	2024/1/3	郑静	sold
北京_20240803_C1112	C1112	北京	理想	40.7	2024/8/3	赵鹏	sold
南京_20240812_C1113	C1113	南京	小鹏	39.1	2024/8/12	陈芳	sold
南京_20240608_C1114	C1114	南京	比亚迪	25.7	2024/6/8	王颖	sold
北京_20240815_C1115	C1115	北京	宝马	69.6	2024/8/15	张强	sold
郑州_20240416_C1116	C1116	郑州	五菱	4.8	2024/4/16	张丽	sold
杭州_20240727_C1117	C1117	杭州	吉利	17.3	2024/7/27	赵丽	sold
深圳_20241224_C1118	C1118	深圳	奔驰	87.7	2024/12/24	陈静	pending
长沙_20241225_C1119	C1119	长沙	宝马	34	2024/12/25	郑娜	sold
苏州_20241104_C1120	C1120	苏州	比亚迪	15.6	2024/11/4	王敏	pending
广州_20240818_C1121	C1121	广州	比亚迪	30.7	2024/8/18	杨超	pending
宁波_20241004_C1122	C1122	宁波	丰田	30.8	2024/10/4	林军	pending
苏州_20240104_C1123	C1123	苏州	蔚来	55.4	2024/1/4	李颖	pending
南京_20240725_C1124	C1124	南京	大众	25.5	2024/7/25	王娜	pending
北京_20240103_C1125	C1125	北京	蔚来	47.2	2024/1/3	杨强	sold
北京_20240118_C1126	C1126	北京	奔驰	63.2	2024/1/18	周鹏	sold
沈阳_20240507_C1127	C1127	沈阳	吉利	9.8	2024/5/7	唐鹏	sold
沈阳_20241107_C1128	C1128	沈阳	宝马	58.1	2024/11/7	陈洋	sold
西安_20240208_C1129	C1129	西安	奥迪	48.8	2024/2/8	郑军	pending
南京_20240212_C1130	C1130	南京	大众	13.3	2024/2/12	陈超	sold
上海_20240919_C1131	C1131	上海	小鹏	18.8	2024/9/19	赵超	sold
南京_20240106_C1132	C1132	南京	长城	18.4	2024/1/6	陈颖	sold
青岛_20240321_C1133	C1133	青岛	特斯拉	45.6	2024/3/21	李超	pending
重庆_20241021_C1134	C1134	重庆	理想	52.5	2024/10/21	吴杰	pending
青岛_20241106_C1135	C1135	青岛	本田	18.1	2024/11/6	郭静	sold
沈阳_20241027_C1136	C1136	沈阳	小鹏	28.6	2024/10/27	孙丽	sold
南京_20241009_C1137	C1137	南京	长安	7.5	2024/10/9	郭伟	sold
广州_20240720_C1138	C1138	广州	特斯拉	40.6	2024/7/20	杨丽	sold
苏州_20241025_C1139	C1139	苏州	特斯拉	30.3	2024/10/25	郭军	sold
深圳_20240222_C1140	C1140	深圳	大众	29.2	2024/2/22	王丽	sold
重庆_20240619_C1141	C1141	重庆	宝马	76.2	2024/6/19	周宁	sold
苏州_20241001_C1142	C1142	苏州	奔驰	71.8	2024/10/1	王涛	sold
